Time,gZ,rZ,iZ
7.500000e-01,-1.382024e+01,-1.386787e+01,-1.376867e+01
1.250000e+00,-1.458648e+01,-1.461275e+01,-1.468860e+01
1.750000e+00,-1.513039e+01,-1.516432e+01,-1.519752e+01
2.250000e+00,-1.552090e+01,-1.559809e+01,-1.557308e+01
2.750000e+00,-1.587468e+01,-1.596793e+01,-1.590958e+01
3.250000e+00,-1.628132e+01,-1.635716e+01,-1.627591e+01
3.750000e+00,-1.666004e+01,-1.672328e+01,-1.662443e+01
4.250000e+00,-1.704814e+01,-1.701461e+01,-1.690602e+01
4.750000e+00,-1.738188e+01,-1.729415e+01,-1.717574e+01
5.250000e+00,-1.768324e+01,-1.755383e+01,-1.737102e+01
5.750000e+00,-1.795082e+01,-1.774824e+01,-1.756344e+01
6.250000e+00,-1.817637e+01,-1.790827e+01,-1.769952e+01
6.750000e+00,-1.835666e+01,-1.806048e+01,-1.784114e+01
7.250000e+00,-1.851947e+01,-1.819290e+01,-1.794227e+01
7.750000e+00,-1.865681e+01,-1.830178e+01,-1.802870e+01
8.250000e+00,-1.878364e+01,-1.839908e+01,-1.811151e+01
8.750000e+00,-1.889034e+01,-1.848260e+01,-1.819603e+01
9.250000e+00,-1.898808e+01,-1.855860e+01,-1.824713e+01
9.750000e+00,-1.907343e+01,-1.862934e+01,-1.831036e+01
1.025000e+01,-1.915315e+01,-1.868953e+01,-1.837328e+01
1.075000e+01,-1.922954e+01,-1.874054e+01,-1.841139e+01
1.125000e+01,-1.929173e+01,-1.879247e+01,-1.845153e+01
1.175000e+01,-1.934962e+01,-1.883343e+01,-1.848281e+01
1.225000e+01,-1.940907e+01,-1.887811e+01,-1.852247e+01
1.275000e+01,-1.945935e+01,-1.892028e+01,-1.855370e+01
1.325000e+01,-1.950306e+01,-1.895731e+01,-1.857910e+01
1.375000e+01,-1.954461e+01,-1.900231e+01,-1.860587e+01
1.425000e+01,-1.958040e+01,-1.903967e+01,-1.862310e+01
1.475000e+01,-1.961331e+01,-1.906541e+01,-1.864708e+01
1.525000e+01,-1.964309e+01,-1.908990e+01,-1.868246e+01
1.575000e+01,-1.967040e+01,-1.912087e+01,-1.871765e+01
1.625000e+01,-1.969409e+01,-1.915213e+01,-1.874493e+01
1.675000e+01,-1.971409e+01,-1.917362e+01,-1.878101e+01
1.725000e+01,-1.972656e+01,-1.919982e+01,-1.882775e+01
1.775000e+01,-1.973962e+01,-1.922008e+01,-1.887657e+01
1.825000e+01,-1.974794e+01,-1.923989e+01,-1.892236e+01
1.875000e+01,-1.975050e+01,-1.925678e+01,-1.897159e+01
1.925000e+01,-1.975607e+01,-1.927347e+01,-1.901643e+01
1.975000e+01,-1.975488e+01,-1.928438e+01,-1.904649e+01
2.025000e+01,-1.975383e+01,-1.929198e+01,-1.908284e+01
2.075000e+01,-1.974960e+01,-1.929677e+01,-1.911477e+01
