Time,gZ,rZ,iZ
7.500000e-01,-1.386613e+01,-1.380023e+01,-1.381435e+01
1.250000e+00,-1.456616e+01,-1.459193e+01,-1.466022e+01
1.750000e+00,-1.503813e+01,-1.511683e+01,-1.511704e+01
2.250000e+00,-1.538823e+01,-1.551501e+01,-1.550278e+01
2.750000e+00,-1.575032e+01,-1.588551e+01,-1.583120e+01
3.250000e+00,-1.613495e+01,-1.625533e+01,-1.622786e+01
3.750000e+00,-1.655270e+01,-1.666094e+01,-1.658555e+01
4.250000e+00,-1.697872e+01,-1.697914e+01,-1.688881e+01
4.750000e+00,-1.733839e+01,-1.728083e+01,-1.715136e+01
5.250000e+00,-1.764971e+01,-1.752135e+01,-1.738198e+01
5.750000e+00,-1.792108e+01,-1.773850e+01,-1.756006e+01
6.250000e+00,-1.815075e+01,-1.791447e+01,-1.767794e+01
6.750000e+00,-1.834913e+01,-1.805773e+01,-1.780620e+01
7.250000e+00,-1.851488e+01,-1.819026e+01,-1.792674e+01
7.750000e+00,-1.865823e+01,-1.829331e+01,-1.803825e+01
8.250000e+00,-1.878442e+01,-1.839515e+01,-1.809375e+01
8.750000e+00,-1.888706e+01,-1.848933e+01,-1.816980e+01
9.250000e+00,-1.898353e+01,-1.856014e+01,-1.824087e+01
9.750000e+00,-1.906262e+01,-1.862261e+01,-1.831612e+01
1.025000e+01,-1.913983e+01,-1.868978e+01,-1.836310e+01
1.075000e+01,-1.920983e+01,-1.874730e+01,-1.842780e+01
1.125000e+01,-1.927744e+01,-1.879510e+01,-1.846704e+01
1.175000e+01,-1.933105e+01,-1.883910e+01,-1.848683e+01
1.225000e+01,-1.938620e+01,-1.888195e+01,-1.851672e+01
1.275000e+01,-1.943842e+01,-1.892558e+01,-1.854630e+01
1.325000e+01,-1.948508e+01,-1.896534e+01,-1.856744e+01
1.375000e+01,-1.952699e+01,-1.899646e+01,-1.860006e+01
1.425000e+01,-1.956528e+01,-1.903166e+01,-1.862531e+01
1.475000e+01,-1.959975e+01,-1.906706e+01,-1.864835e+01
1.525000e+01,-1.962872e+01,-1.909169e+01,-1.868068e+01
1.575000e+01,-1.965453e+01,-1.912411e+01,-1.871781e+01
1.625000e+01,-1.967533e+01,-1.914774e+01,-1.875925e+01
1.675000e+01,-1.969613e+01,-1.916934e+01,-1.880022e+01
1.725000e+01,-1.971325e+01,-1.919348e+01,-1.883580e+01
1.775000e+01,-1.972646e+01,-1.921908e+01,-1.887883e+01
1.825000e+01,-1.973537e+01,-1.923897e+01,-1.892265e+01
1.875000e+01,-1.974151e+01,-1.925366e+01,-1.896595e+01
1.925000e+01,-1.974463e+01,-1.926913e+01,-1.901575e+01
1.975000e+01,-1.974687e+01,-1.928075e+01,-1.905072e+01
2.025000e+01,-1.974564e+01,-1.928859e+01,-1.908237e+01
2.075000e+01,-1.974375e+01,-1.929826e+01,-1.911158e+01
