0.000231481 day
# index velocity (km/s) density (g/cm^3) fraction_of_zone_that_is_56ni 
1.250000e+02  2.500000e+04	 1.051690e-01  	4.910460e-04  	
1.260000e+02  2.520000e+04	 9.814898e-02  	4.880922e-04  	
1.270000e+02  2.540000e+04	 9.159753e-02  	4.853079e-04  	
1.280000e+02  2.560000e+04	 8.548340e-02  	4.826829e-04  	
1.290000e+02  2.580000e+04	 7.977739e-02  	4.802076e-04  	
1.300000e+02  2.600000e+04	 7.445225e-02  	4.778731e-04  	
1.310000e+02  2.620000e+04	 6.948256e-02  	4.756712e-04  	
1.320000e+02  2.640000e+04	 6.484460e-02  	4.735940e-04  	
1.330000e+02  2.660000e+04	 6.051623e-02  	4.716342e-04  	
1.340000e+02  2.680000e+04	 5.647677e-02  	4.697850e-04  	
1.350000e+02  2.700000e+04	 5.270695e-02  	4.680400e-04  	
1.360000e+02  2.720000e+04	 4.918876e-02  	4.663931e-04  	
1.370000e+02  2.740000e+04	 4.590541e-02  	4.648387e-04  	
1.380000e+02  2.760000e+04	 4.284123e-02  	4.633715e-04  	
1.390000e+02  2.780000e+04	 3.998158e-02  	4.619865e-04  	
1.400000e+02  2.800000e+04	 3.731281e-02  	4.606791e-04  	
1.410000e+02  2.820000e+04	 3.482218e-02  	4.594448e-04  	
1.420000e+02  2.840000e+04	 3.249780e-02  	4.582794e-04  	
1.430000e+02  2.860000e+04	 3.032857e-02  	4.571792e-04  	
1.440000e+02  2.880000e+04	 2.830414e-02  	4.561403e-04  	
1.450000e+02  2.900000e+04	 2.641484e-02  	4.551594e-04  	
1.460000e+02  2.920000e+04	 2.465165e-02  	4.542332e-04  	
1.470000e+02  2.940000e+04	 2.300615e-02  	4.533587e-04  	
1.480000e+02  2.960000e+04	 2.147049e-02  	4.525329e-04  	
1.490000e+02  2.980000e+04	 2.003734e-02  	4.517531e-04  	
1.500000e+02  3.000000e+04	 1.869985e-02  	4.510168e-04  	
